"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-79.63","43.68","TORONTO INTL A","6158731","2019-10-01 00:00","2019","10","01","00:00","15.1","","14.3","","95","","17","","12","","24.1","","99.52","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2019-10-01 01:00","2019","10","01","01:00","14.8","","13.9","","95","","17","","10","","24.1","","99.49","","","","","","Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2019-10-01 02:00","2019","10","01","02:00","14.8","","14.0","","95","","17","","14","","24.1","","99.42","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2019-10-01 03:00","2019","10","01","03:00","16.0","","14.2","","89","","17","","18","","24.1","","99.36","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2019-10-01 04:00","2019","10","01","04:00","16.2","","14.6","","90","","15","","15","","24.1","","99.31","","","","","","Mainly Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2019-10-01 05:00","2019","10","01","05:00","15.8","","14.4","","91","","15","","11","","24.1","","99.24","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2019-10-01 06:00","2019","10","01","06:00","16.3","","14.8","","91","","15","","16","","24.1","","99.24","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2019-10-01 07:00","2019","10","01","07:00","19.9","","18.5","","92","","19","","13","","24.1","","99.25","","","","","","Mainly Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2019-10-01 08:00","2019","10","01","08:00","22.1","","18.6","","80","","16","","20","","24.1","","99.22","","29","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2019-10-01 09:00","2019","10","01","09:00","26.4","","19.6","","66","","19","","16","","24.1","","99.23","","34","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2019-10-01 10:00","2019","10","01","10:00","28.4","","20.0","","60","","22","","20","","24.1","","99.19","","36","","","","Mostly Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2019-10-01 11:00","2019","10","01","11:00","29.5","","20.2","","57","","20","","24","","24.1","","99.11","","37","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2019-10-01 12:00","2019","10","01","12:00","30.7","","20.3","","53","","24","","23","","24.1","","99.07","","39","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2019-10-01 13:00","2019","10","01","13:00","31.2","","20.0","","50","","21","","28","","24.1","","99.03","","39","","","","Mostly Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2019-10-01 14:00","2019","10","01","14:00","29.8","","20.0","","55","","25","","15","","24.1","","98.99","","37","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2019-10-01 15:00","2019","10","01","15:00","26.1","","21.9","","78","","30","","35","","4.8","","99.05","","35","","","","Thunderstorms,Rain Showers,Fog"
"-79.63","43.68","TORONTO INTL A","6158731","2019-10-01 16:00","2019","10","01","16:00","22.4","","21.9","","97","","19","","21","","12.9","","99.04","","32","","","","Rain Showers"
"-79.63","43.68","TORONTO INTL A","6158731","2019-10-01 17:00","2019","10","01","17:00","21.9","","20.9","","94","","20","","16","","16.1","","99.06","","30","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2019-10-01 18:00","2019","10","01","18:00","22.1","","20.7","","92","","26","","11","","24.1","","99.12","","30","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2019-10-01 19:00","2019","10","01","19:00","21.7","","20.6","","93","","23","","21","","24.1","","99.17","","30","","","","Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2019-10-01 20:00","2019","10","01","20:00","21.4","","19.8","","90","","28","","18","","24.1","","99.16","","29","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2019-10-01 21:00","2019","10","01","21:00","21.4","","19.7","","90","","30","","12","","24.1","","99.09","","29","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2019-10-01 22:00","2019","10","01","22:00","20.5","","19.2","","92","","19","","9","","24.1","","99.10","","27","","","","Mostly Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2019-10-01 23:00","2019","10","01","23:00","20.4","","19.1","","92","","18","","15","","24.1","","99.06","","27","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2019-10-02 00:00","2019","10","02","00:00","19.1","","18.0","","93","","18","","12","","24.1","","99.04","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2019-10-02 01:00","2019","10","02","01:00","19.1","","18.2","","95","","19","","13","","24.1","","99.04","","","","","","Mostly Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2019-10-02 02:00","2019","10","02","02:00","19.2","","18.6","","96","","15","","5","","24.1","","98.99","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2019-10-02 03:00","2019","10","02","03:00","16.2","","15.2","","94","","3","","24","","8.1","","98.99","","","","","","Heavy Rain"
"-79.63","43.68","TORONTO INTL A","6158731","2019-10-02 04:00","2019","10","02","04:00","16.0","","15.4","","96","","5","","9","","24.1","","99.09","","","","","","Rain"
"-79.63","43.68","TORONTO INTL A","6158731","2019-10-02 05:00","2019","10","02","05:00","16.0","","15.3","","96","","7","","12","","9.7","","99.08","","","","","","Rain"
"-79.63","43.68","TORONTO INTL A","6158731","2019-10-02 06:00","2019","10","02","06:00","16.0","","15.2","","95","","5","","16","","12.9","","99.07","","","","","","Rain"
"-79.63","43.68","TORONTO INTL A","6158731","2019-10-02 07:00","2019","10","02","07:00","16.1","","15.3","","95","","4","","16","","16.1","","99.09","","","","","","Rain"
"-79.63","43.68","TORONTO INTL A","6158731","2019-10-02 08:00","2019","10","02","08:00","16.4","","15.6","","95","","4","","15","","16.1","","99.16","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2019-10-02 09:00","2019","10","02","09:00","16.7","","15.8","","95","","3","","12","","4.8","","99.23","","","","","","Rain,Fog"
"-79.63","43.68","TORONTO INTL A","6158731","2019-10-02 10:00","2019","10","02","10:00","16.0","","15.3","","96","","4","","17","","9.7","","99.28","","","","","","Rain,Fog"
"-79.63","43.68","TORONTO INTL A","6158731","2019-10-02 11:00","2019","10","02","11:00","15.2","","14.4","","95","","4","","22","","4.0","","99.32","","","","","","Rain,Fog"
"-79.63","43.68","TORONTO INTL A","6158731","2019-10-02 12:00","2019","10","02","12:00","14.9","","13.9","","93","","4","","20","","12.9","","99.41","","","","","","Rain"
"-79.63","43.68","TORONTO INTL A","6158731","2019-10-02 13:00","2019","10","02","13:00","14.6","","13.4","","92","","4","","23","","12.9","","99.43","","","","","","Rain"
"-79.63","43.68","TORONTO INTL A","6158731","2019-10-02 14:00","2019","10","02","14:00","14.1","","13.0","","93","","5","","25","","16.1","","99.47","","","","","","Rain"
"-79.63","43.68","TORONTO INTL A","6158731","2019-10-02 15:00","2019","10","02","15:00","13.6","","12.2","","91","","4","","23","","16.1","","99.53","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2019-10-02 16:00","2019","10","02","16:00","13.7","","11.4","","86","","6","","27","","24.1","","99.55","","","","","","Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2019-10-02 17:00","2019","10","02","17:00","13.5","","10.6","","82","","7","","25","","16.1","","99.64","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2019-10-02 18:00","2019","10","02","18:00","13.1","","9.8","","81","","5","","28","","24.1","","99.69","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2019-10-02 19:00","2019","10","02","19:00","12.8","","9.1","","78","","6","","28","","24.1","","99.79","","","","","","Mostly Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2019-10-02 20:00","2019","10","02","20:00","12.6","","8.9","","78","","8","","25","","24.1","","99.84","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2019-10-02 21:00","2019","10","02","21:00","11.4","","6.2","","71","","7","","36","","24.1","","99.88","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2019-10-02 22:00","2019","10","02","22:00","10.2","","5.2","","71","","7","","37","","24.1","","99.97","","","","","","Mostly Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2019-10-02 23:00","2019","10","02","23:00","9.4","","4.3","","71","","8","","32","","24.1","","99.98","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2019-10-03 00:00","2019","10","03","00:00","9.2","","3.4","","67","","8","","35","","24.1","","99.93","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2019-10-03 01:00","2019","10","03","01:00","9.1","","3.9","","69","","8","","28","","24.1","","99.90","","","","","","Mostly Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2019-10-03 02:00","2019","10","03","02:00","9.1","","3.6","","69","","7","","29","","24.1","","99.94","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2019-10-03 03:00","2019","10","03","03:00","8.9","","3.2","","68","","8","","28","","24.1","","99.88","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2019-10-03 04:00","2019","10","03","04:00","8.7","","3.6","","70","","8","","28","","24.1","","99.83","","","","","","Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2019-10-03 05:00","2019","10","03","05:00","8.8","","3.9","","72","","7","","26","","24.1","","99.89","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2019-10-03 06:00","2019","10","03","06:00","8.7","","4.7","","76","","7","","27","","24.1","","99.86","","","","","","Rain"
"-79.63","43.68","TORONTO INTL A","6158731","2019-10-03 07:00","2019","10","03","07:00","8.4","","5.7","","83","","7","","28","","24.1","","99.77","","","","","","Rain"
"-79.63","43.68","TORONTO INTL A","6158731","2019-10-03 08:00","2019","10","03","08:00","8.8","","6.8","","87","","6","","26","","24.1","","99.72","","","","","","Rain"
"-79.63","43.68","TORONTO INTL A","6158731","2019-10-03 09:00","2019","10","03","09:00","8.5","","6.9","","90","","7","","35","","9.7","","99.68","","","","","","Rain,Fog"
"-79.63","43.68","TORONTO INTL A","6158731","2019-10-03 10:00","2019","10","03","10:00","9.0","","7.0","","88","","8","","34","","16.1","","99.56","","","","","","Rain"
"-79.63","43.68","TORONTO INTL A","6158731","2019-10-03 11:00","2019","10","03","11:00","9.4","","7.6","","88","","8","","28","","16.1","","99.51","","","","","","Rain"
"-79.63","43.68","TORONTO INTL A","6158731","2019-10-03 12:00","2019","10","03","12:00","9.2","","8.2","","94","","7","","28","","12.9","","99.46","","","","","","Rain"
"-79.63","43.68","TORONTO INTL A","6158731","2019-10-03 13:00","2019","10","03","13:00","9.2","","8.6","","96","","7","","26","","12.9","","99.34","","","","","","Rain"
"-79.63","43.68","TORONTO INTL A","6158731","2019-10-03 14:00","2019","10","03","14:00","9.9","","9.3","","96","","7","","23","","24.1","","99.25","","","","","","Rain"
"-79.63","43.68","TORONTO INTL A","6158731","2019-10-03 15:00","2019","10","03","15:00","10.7","","10.3","","98","","6","","15","","4.0","","99.24","","","","","","Rain,Fog"
"-79.63","43.68","TORONTO INTL A","6158731","2019-10-03 16:00","2019","10","03","16:00","12.0","","11.7","","98","","9","","10","","3.2","","99.22","","","","","","Rain,Fog"
"-79.63","43.68","TORONTO INTL A","6158731","2019-10-03 17:00","2019","10","03","17:00","11.8","","11.5","","98","","8","","19","","3.2","","99.21","","","","","","Rain,Fog"
"-79.63","43.68","TORONTO INTL A","6158731","2019-10-03 18:00","2019","10","03","18:00","11.6","","11.3","","98","","29","","12","","3.2","","99.27","","","","","","Rain,Fog"
"-79.63","43.68","TORONTO INTL A","6158731","2019-10-03 19:00","2019","10","03","19:00","11.1","","10.6","","96","","33","","11","","12.9","","99.32","","","","","","Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2019-10-03 20:00","2019","10","03","20:00","11.1","","10.6","","97","","34","","3","","16.1","","99.38","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2019-10-03 21:00","2019","10","03","21:00","10.8","","10.1","","96","","17","","16","","24.1","","99.40","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2019-10-03 22:00","2019","10","03","22:00","10.9","","10.5","","97","","17","","15","","24.1","","99.45","","","","","","Mainly Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2019-10-03 23:00","2019","10","03","23:00","11.0","","10.4","","96","","17","","13","","24.1","","99.49","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2019-10-04 00:00","2019","10","04","00:00","10.9","","10.4","","97","","5","","12","","24.1","","99.54","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2019-10-04 01:00","2019","10","04","01:00","10.1","","9.6","","97","","5","","14","","24.1","","99.63","","","","","","Mostly Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2019-10-04 02:00","2019","10","04","02:00","9.9","","9.3","","96","","3","","14","","24.1","","99.73","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2019-10-04 03:00","2019","10","04","03:00","8.8","","8.0","","95","","3","","13","","24.1","","99.84","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2019-10-04 04:00","2019","10","04","04:00","8.2","","6.7","","90","","4","","12","","24.1","","99.97","","","","","","Mostly Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2019-10-04 05:00","2019","10","04","05:00","8.4","","6.6","","88","","3","","17","","24.1","","100.09","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2019-10-04 06:00","2019","10","04","06:00","7.7","","5.0","","83","","2","","17","","24.1","","100.23","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2019-10-04 07:00","2019","10","04","07:00","7.5","","4.5","","81","","1","","20","","24.1","","100.35","","","","","","Mainly Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2019-10-04 08:00","2019","10","04","08:00","7.7","","4.2","","78","","2","","20","","24.1","","100.47","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2019-10-04 09:00","2019","10","04","09:00","8.3","","4.0","","74","","3","","12","","24.1","","100.57","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2019-10-04 10:00","2019","10","04","10:00","8.8","","4.0","","72","","4","","15","","24.1","","100.63","","","","","","Mostly Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2019-10-04 11:00","2019","10","04","11:00","9.5","","3.2","","65","","1","","8","","24.1","","100.70","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2019-10-04 12:00","2019","10","04","12:00","9.7","","3.3","","65","","2","","11","","24.1","","100.73","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2019-10-04 13:00","2019","10","04","13:00","10.4","","3.8","","64","","4","","18","","24.1","","100.75","","","","","","Mostly Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2019-10-04 14:00","2019","10","04","14:00","9.9","","3.1","","62","","5","","19","","24.1","","100.74","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2019-10-04 15:00","2019","10","04","15:00","9.7","","3.1","","63","","4","","16","","24.1","","100.75","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2019-10-04 16:00","2019","10","04","16:00","10.8","","3.8","","62","","5","","12","","24.1","","100.75","","","","","","Mainly Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2019-10-04 17:00","2019","10","04","17:00","10.6","","3.6","","62","","6","","13","","24.1","","100.73","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2019-10-04 18:00","2019","10","04","18:00","9.7","","3.5","","65","","1","","8","","24.1","","100.77","","","","","","NA"
